C3降低,C3降低、C3、肝病科、肾病、肝炎肝病、风湿疾病、免疫功能
左室顺应性欠佳,左室顺应性欠佳、胸部、心脏、心内科
左心室收缩功能减低,左心室收缩功能减低、胸部、心脏、心内科
左心室舒张功能减低,左心室舒张功能减低、胸部、心脏、心内科
巨细胞病毒感染中,巨细胞病毒感染中、巨细胞包涵体病、传染科、昏迷、呼吸困难、发烧、肝肿大
巩膜炎,巩膜炎、头部、眼、眼科、五官科、角膜病、角巩膜葡萄肿、周期性发作的巩膜充血、巩膜充血、巩膜水肿、巩膜小泡
巩膜黄染,巩膜黄染、头部、眼、眼科、五官科、急性黄疸型肝炎、肝炎、急性乙肝、镰状细胞病、原发性胆汁性肝硬化
巴彬斯基征,巴彬斯基征、周围神经系统、Babinski、神经内科
平均红细胞体积增高,平均红细胞体积增高、MCV、红细胞平均体积、血液科、皮肤病
平均红细胞体积降低,平均红细胞体积降低、MCV、红细胞平均体积、血液科、皮肤病
平均红细胞血红蛋白浓度增高,平均红细胞血红蛋白浓度增高、MCHC、平均红细胞血红蛋白浓度、红细胞平均血红蛋白浓度、血液科、呕吐、拉肚子、真性红细胞增多症、一氧化碳中毒、血液病
平均红细胞血红蛋白浓度降低,平均红细胞血红蛋白浓度降低、MCHC、平均红细胞血红蛋白浓度、红细胞平均血红蛋白浓度、血液科、纯红再障、血液病
平均红细胞血红蛋白量增高,平均红细胞血红蛋白量增高、MCHC、平均红细胞血红蛋白浓度、红细胞平均血红蛋白浓度、血液科、呕吐、拉肚子、真性红细胞增多症、一氧化碳中毒、血液病
平均红细胞血红蛋白量降低,平均红细胞血红蛋白量降低、MCHC、平均红细胞血红蛋白浓度、红细胞平均血红蛋白浓度、血液科、纯红再障、血液病
平均血小板体积增高,平均血小板体积增高、MPV、血液科
平均血小板体积降低,平均血小板体积降低、MPV、血液科
平均血红蛋白含量增高,平均血红蛋白含量增高、血液科、血液病
平均血红蛋白含量降低,平均血红蛋白含量降低、血液科、血液病
幼稚子宫,幼稚子宫、女性生殖、子宫、子宫偏小 子宫发育不良 、妇科、月经初潮延迟伴月经稀少、痛经、闭经、子宫发育不良、B超测量子宫体、测量子宫容量
幽门螺旋杆菌感染,幽门螺旋杆菌感染、腹部、胃、幽门螺旋杆菌感染、消化内科、慢性胃炎、肚子疼、腹胀、胃镜采样检测、细菌的直接、尿素酶、聚合酶链反应技术
弓形体抗体测定阳性,弓形体抗体测定阳性、感染科、传染科
弱视,弱视、头部、眼、眼科、屈光不正、斜视、弱视眼的拥挤现象、器质性弱视、剥夺性弱视、屈光不正性弱视、废用性弱视、视力、光觉、CSF、眼位、三棱镜、裂隙灯及眼底镜
心包积液,心包积液、胸部、心脏、慢性特发性心包积液症、心血管内科、脑出血、感染性心内膜炎、心包积液体征、胸痛、气短、心电图心动图、心包穿刺
心室肥大,心室肥大、胸部、心脏、心室肥大、心内科、心外科、舒张性心力衰竭、单心室、后天性三尖瓣关闭不全、良性高血压性小动脉性肾硬化、慢性肺源性心脏病
心室高电压,心室高电压、胸部、心脏、心内科
心影增大,心影增大、胸部、心脏、心内科
心房增大,心房增大、胸部、心脏、血管外科、心肌病、瓣膜病
心房纤颤,心房纤颤、胸部、心脏、心内科、心外科、甲状腺功能亢进性心肌病、二尖瓣环钙化
心电图Q波异常,心电图Q波异常、胸部、心脏、心血管内科、肢端肥大症性心肌病、甲状腺功能亢进性心肌病、三度房室传导阻滞、窦室传导、无症状型心肌缺血、动态心电图、多普勒超声心动图
心电图ST-T改变,心电图ST-T改变、胸部、心脏、心内科
心电图ST段改变,心电图ST段改变、胸部、心脏、心内科
心电图T波改变,心电图T波改变、胸部、心脏、心内科
心电图低电压,心电图低电压、胸部、心脏、心内科
心电图异常,心电图异常、胸部、心脏、心血管内科、肢端肥大症性心肌病、甲状腺功能亢进性心肌病、三度房室传导阻滞、窦室传导、无症状型心肌缺血、动态心电图、多普勒超声心动图
心电图早期复极综合征,心电图早期复极综合征、胸部、心脏、早期复极综合症、心血管内科、心悸、头晕、疲劳、心前区隐痛、胸痛、心电图、体温测量、胸部平片
心电图逆钟向转位,心电图逆钟向转位、胸部、心脏、心内科
心电图顺钟向转位,心电图顺钟向转位、胸部、心脏、心内科
心电轴偏移,心电轴偏移、胸部、心脏、心内科
心肌梗塞,心肌梗塞、胸部、心脏、心肌梗死、心梗、心血管内科、心胸外科、猝死、二尖瓣关闭不全、肩-手综合征、肺炎、胸膜炎、心包炎、心力衰竭、心慌气短、心音异常、心源性晕厥、心电图异常、心脏猝死、白细胞计数、红细胞沉降率、血清酶
心肌病,心肌病、胸部、心脏、心血管内科、心胸外科、感染性心内膜炎、活动后气促、易疲乏、心率增快、血压下降、心脏杂音、心电图、多普勒超声心动图、二维超声心动图
心肌缺血,心肌缺血、胸部、心脏、心血管内科、人流综合症、老年人心房纤颤、血清抗磷脂抗体
心脏早搏,心脏早搏、胸部、心脏、室性期前收缩、心绞痛、晕厥、心衰、老年人室性期前收缩、心肌梗塞
心脏杂音,心脏杂音、胸部、心脏、心血管内科、内科、腹主动脉瘤、药物性心肌病、淀粉样变心肌病、莱姆心脏炎、勒夫勒心内膜炎、动态心电图、多普勒超声心动图、尿维生素B心血管造影、血清铜
急性咽炎,急性咽炎、头部、咽喉、耳鼻喉科、急性喉炎、肺炎、急性蜂窝组织炎、咽痛、吞咽痛、咽部灼热疼痛、头痛、血常规
总胆汁酸增高,总胆汁酸增高、TBA、肝病、肝炎、肝硬化、肝癌、肝炎肝病
总铁结合力增高,总铁结合力增高、TIBC、血液科、二水焦磷酸钙结晶沉积症、血液病
总铁结合力降低,总铁结合力降低、TIBC、血液科、小儿屏气发作、小儿铁粒幼红细胞性贫血、血液病
慢性咽炎,慢性咽炎、头部、咽喉、梅核气、耳鼻喉科、急性喉炎、鼻窦炎、肺炎、支气管炎、气管炎、喉炎、咽部充血、咽痛、咽部异物感、咽部慢性充血、吞咽障碍、咽部、鼻咽及喉咽
慢性胰腺炎,慢性胰腺炎、腹部、胰腺、胰胀、消化内科、胰腺假性囊肿、肚子疼、腹胀、恶心与呕吐、消瘦、无力
戊型肝炎病毒抗体阳性,戊型肝炎病毒抗体阳性、腹部、肝、HEV、肝病科
房室传导阻滞,房室传导阻滞、胸部、心脏、心血管内科、心胸外科、猝死、疲劳、头晕、抽搐、疲乏、头昏、心电图、动态心电图（Holter监测）
房室分离,房室分离、胸部、心脏、心血管内科、心胸外科、三度房室传导阻滞、房室交接区性期前收缩、房颤
房间隔缺损,房间隔缺损、胸部、心脏、心内科、心胸外科、肺炎、肺水肿、心内膜炎、心悸、气短、疲劳、紫绀、影像学
房间隔膨出瘤,房间隔膨出瘤、胸部、心脏、肿瘤科、心外科
扁平苔藓,扁平苔藓、头部、口腔、扁平苔藓、扁平红苔癣、紫癜风、口腔科、皮肤科、扁平苔癣、丘疹、充血、口腔糜烂、四肢苔藓样变、皮肤涂片显微镜、常规
扁桃体炎,扁桃体炎、头部、咽喉、耳鼻喉科、呼吸内科、慢性舌扁桃体炎、急性舌扁桃体炎、急性扁桃体炎、慢性扁桃体炎、发烧、咽痛、咽喉不利
扁桃体肿大,扁桃体肿大、头部、咽喉、口腔外科、咽喉、气管及支气管炎
抗EB病毒,抗EB病毒、全身、血清EBV－Ab、EB EBV－Ab、五官科、肿瘤科、肿瘤、肿瘤相关抗原
抗O增高,抗O增高、抗溶血性链球菌“O”试验、O、风湿免疫科 、临床微生物学
抗甲状腺球蛋白抗体增高,抗甲状腺球蛋白抗体增高、颈部、甲状腺、内分泌科、甲状腺专科、甲状腺功能
抗胰岛素抗体阳性,抗胰岛素抗体阳性、IAB、抗胰岛素抗体、IAB、心血管内科、血液科、内科、糖尿病
支原体抗体,支原体抗体、泌尿外科、肺炎、男科疾病、妇科疾病
支气管炎,支气管炎、颈部、气管、慢性支气管炎、慢支、老慢支、呼吸内科、老年人慢性支气管炎、呼吸性细支气管炎间质肺病、急性细支气管炎、小儿慢性支气管炎、小儿急性喉气管支气管炎、小儿喘息样支气管炎、小儿急性气管支气管炎、小儿毛细支气管炎、小儿急性支气管炎、喘息样支气管炎、急性气管－支气管炎、慢性支气管炎、呼吸困难、咳嗽、发绀、支气管狭窄、咳痰、呼吸功能、血液、痰液
日照性皮炎,日照性皮炎、皮肤、皮肤炎症、皮肤科、离位皮炎、急性视网膜色素上皮炎、水母皮炎、发疱性甲虫皮炎、茶毛虫皮炎、松毛虫皮炎、桑毛虫皮炎、恙螨皮炎、螨皮炎、隐翅虫皮炎、钩虫皮炎、增殖性皮炎、皮肤瘙痒、丘疹、皮内试验、皮肤划痕试验、T淋巴细胞亚群
晶体后囊密度增高,晶体后囊密度增高、头部、眼、眼科
晶状体浑浊,晶状体浑浊、头部、眼、眼科、外伤相关性青光眼、晶状体异位、代谢性白内障、年龄相关性白内障、特发性黄斑部前膜
智齿,智齿、头部、口、口腔科、牙科、牙龈肿胀、牙龈溢脓、进食困难、吞咽困难、食欲较差牙片
术后阴道残端息肉,术后阴道残端息肉、女性生殖、阴道、妇科、生殖科
束支传导阻滞,束支传导阻滞、胸部、心脏、心内科、心胸外科、强直性脊柱炎性巩膜炎、淀粉样变、肢端肥大症性心肌病、双侧束支传导阻滞、左束支传导阻滞
枕部淋巴结肿大,枕部淋巴结肿大、头部、耳、血液科
果糖胺增高,果糖胺增高、果糖胺增高、内分泌科
果糖胺降低,果糖胺降低、果糖胺降低、内分泌科
椎动脉血流速度不对称,椎动脉血流速度不对称、神经内科
椎动脉血流速度减慢,椎动脉血流速度减慢、神经内科
椎动脉血流速度增快,椎动脉血流速度增快、神经内科
椎基底动脉供血不足,椎基底动脉供血不足、神经内科
椎管狭窄,椎管狭窄、骨、脊柱、腰椎椎管狭窄症、腰椎狭窄、骨科、腰椎间膨出、侧陷窝狭窄症、间歇性跛行、腰骶疼痛、腰椎椎管狭窄、脊髓性间歇破行、脊柱生理弯曲消失、脊椎平片
楔状缺损,楔状缺损、头部、口、刷牙磨损、口腔科、牙髓炎、根尖周病、牙齿异常、牙龈萎缩、常规
横位心,横位心、胸部、心脏、心内科、心外科
横膈抬高,横膈抬高、胸部、膈肌、呼吸内科
气管受压,气管受压、颈部、气管、呼吸内科、急性嗜酸性粒细胞性肺炎、肺结核、喘息样支气管炎、气管肿瘤、急性肺脓肿
氟斑牙,氟斑牙、头部、口、氟牙症、斑釉牙、口腔科、拉肚子、牙齿上白垩色到褐色的斑块、牙釉质腐蚀、血浆氟化物
永存骨骺,永存骨骺、骨、骨科
沙眼,沙眼、头部、眼、颗粒性结膜炎、砂眼、衣原体性结膜炎、粟疮、眼科、慢性泪囊炎、上睑下垂、皮角、泪囊炎、角膜炎、眼屎多、睑结膜沙粒外观、泪溢、上睑黄白色小点、眼内有异物感、涂片检测衣原体包涵体、细胞培养法、分子生物学方法
海绵状血管瘤,海绵状血管瘤、单纯性血管瘤、先天血管瘤、草莓样血管瘤、草莓状血管瘤、先天性血管瘤、毛细血管扩张痣、毛细血管瘤、血管外科、皮肤科、血管瘤、癫痫、贫血、脑室出血、尿暗黑色、血管畸形、血管痣、蓝色橡皮大疱痣、常规
海绵肾,海绵肾、腰部、肾、海绵肾、髓质海绵肾、髓状海绵样肾、非尿毒症性髓质囊性病、肾小管特发性扩张、幼年性肾痨髓质囊性病、肾内科、脓尿、烦渴多饮、绞痛、抽搐
消化道出血,消化道出血、呕血与黑粪、消化内科、贫血、失血性休克、上腹部疼痛、肝掌、静脉曲张、脾大、腹水、常规实验室、内镜钡剂、血管造影、放射性核素显像
淋巴细胞值增高,淋巴细胞值增高、LY、血液科、慢性淋巴细胞白血病、百日咳、风疹、结核病、血液病、肺炎、耳鼻喉
淋巴细胞值降低,淋巴细胞值降低、LY、血液科、淋巴细胞减少症、小儿获得性免疫缺陷综合征、小儿继发性免疫缺陷病、小儿X-连锁严重联合免疫缺陷病、血液病、肺炎、耳鼻喉
淋巴细胞百分率偏高,淋巴细胞百分率偏高、淋巴细胞比值、LY%、LY、血液科、炎症、血液病
淋巴细胞百分率降低,淋巴细胞百分率降低、淋巴细胞比值、LY%、LY、血液科、炎症、血液病
淋巴结肿大,淋巴结肿大、淋巴、呼吸内科、肿瘤科、传染科、血清病性荨麻疹、红蝴蝶疮、干槽症、淋巴管肌瘤、慢性疲劳综合症、血清NSE、淋巴细胞计数、肝、胆、胰、脾MRI、血清铜、骨髓象分析
游离三碘甲状腺原氨酸增高,游离三碘甲状腺原氨酸增高、颈部、甲状腺、FT3I、内分泌科、甲状腺专科、甲状腺功能、激素
游离三碘甲状腺原氨酸降低,游离三碘甲状腺原氨酸降低、颈部、甲状腺、FT3I、内分泌科、甲状腺专科、甲状腺功能、激素
游走肾,游走肾、腰部、肾、肾内科、小儿马方综合征
牙周病,牙周病、头部、口、牙周疾病、口腔科、口臭、牙齿臭、牙齿缝隙大、牙齿颜色异常、牙齿遇冷热痛、牙齿黑斑、血液常规
牙折,牙折、头部、口、牙齿折断、口腔科、牙科、牙脱位、牙体损伤、疼痛、牙周袋形成
牙本质过敏,牙本质过敏、头部、口、牙本质过敏症 过敏性牙本质、牙科
牙结石,牙结石、头部、口、口腔科、牙周病、口腔内窥镜
牙面色素沉着,牙面色素沉着、头部、口、牙科
牙齿松动,牙齿松动、头部、口、口腔科、牙科、根尖周病、颌骨骨髓炎、坏死性龈口炎、肾精亏虚、朗格汉斯细胞组织细胞增生症
牙齿残缺,牙齿残缺、头部、口、牙科
牙齿磨损 ,牙齿磨损 、头部、口、五官科、口腔科、坏死、炎症、溃疡
牙龈瘤,牙龈瘤、头部、口、肿瘤科、口腔科、口臭、肿胀、齿龈肿胀、牙龈痛、牙周袋形成、颌骨呈“扇形”骨质破坏、牙的咀嚼磨损、颅脑MRI
玻璃体异常,玻璃体异常、头部、眼、眼科
球蛋白增高,球蛋白增高、血清GL0、GL0、血液科、皮肤淋巴肉芽肿病、老年人结节病、黄疸、肝炎肝病、肾病、蛋白质
球蛋白降低,球蛋白降低、血清GL0、GL0、血液科、皮肤淋巴肉芽肿病、老年人结节病、黄疸、肝炎肝病、肾病、蛋白质
甲亢,甲亢、颈部、甲状腺、甲状腺功能亢进、瘿气、内分泌科、房室传导阻滞、窦性心动过速、冠心病、心肌炎、肺水肿、风湿性心脏病、重症肌无力、低钾血症、巴特综合征、周期性麻痹、拉肚子、脱水、高代谢征群、突眼症、甲状腺肿大、甲状腺结节、碘甲亢、(1)了解机体代谢状态的项目、(2)了解血清甲状腺激素高低的项目、(3)了解垂体一甲状腺轴调节的项目、(4)了解甲状腺肿大情况的项目、(5)甲状腺免疫学、　(6)了解甲状腺病变性质的项目
甲状旁腺结节,甲状旁腺结节、颈部、甲状腺、内分泌科、普外科、甲亢、甲状腺微小癌、亚急性甲状腺炎、甲状腺癌、家族性甲状腺非髓样癌、血清甲状腺球蛋白、甲状腺环磷酸鸟苷、甲状腺静态显像、血清超敏促甲状腺激素
甲状腺占位性病变,甲状腺占位性病变、颈部、甲状腺、内分泌科、甲状腺专科
甲状腺囊肿,甲状腺囊肿、颈部、甲状腺、肿瘤科、普外科、疼痛、吞咽困难、呼吸困难、声音嘶哑、心悸、实验室、影像学
甲状腺回声欠均,甲状腺回声欠均、颈部、甲状腺、内分泌科、甲状腺专科
甲状腺弥漫性病变,甲状腺弥漫性病变、颈部、甲状腺、内分泌科、甲状腺专科、结节性甲状腺肿、甲状腺癌、桥本甲状腺炎、Graves病
甲状腺机能减退,甲状腺机能减退、颈部、甲状腺、内分泌科、内分泌失调、眼球突出、血色病、老年人垂体瘤、甲状腺摄131碘试验、血清高密度脂蛋白2-胆固醇、环磷酸鸟苷、婴幼儿健康、促甲状腺激素兴奋显像
甲状腺炎,甲状腺炎、颈部、甲状腺、内分泌科、急性甲状腺炎、无痛性甲状腺炎、慢性纤维性甲状腺炎、急性化脓性甲状腺炎、急性放射性甲状腺炎、放射性甲状腺炎、产后甲状腺炎、小儿慢性淋巴细胞性甲状腺炎、小儿亚急性甲状腺炎、小儿急性化脓性甲状腺炎、静止性淋巴细胞性甲状腺炎、亚急性甲状腺炎、乏力、皮肤干燥、腹胀、性欲减退、剧痛、甲状腺功能、免疫学
甲状腺球蛋白抗体增高,甲状腺球蛋白抗体增高、颈部、甲状腺、内分泌科、甲状腺功能
甲状腺素增高,甲状腺素增高、颈部、甲状腺、内分泌科、甲状腺炎、多发性内分泌腺瘤Ⅱ型、男子乳腺发育、早熟性儿童乳房肥大症、甲状腺功能、激素
甲状腺素降低,甲状腺素降低、颈部、甲状腺、内分泌科、闭经溢乳综合征、男性青春期发育延迟、老年人甲状腺功能低下、老年低温症、甲状腺功能、激素
甲状腺结合蛋白增高,甲状腺结合蛋白增高、颈部、甲状腺、血清甲状腺素结合前白、内分泌科
甲状腺结合蛋白降低,甲状腺结合蛋白降低、颈部、甲状腺、血清甲状腺素结合前白、内分泌科
甲状腺结节,甲状腺结节、颈部、甲状腺、内分泌科、普外科、甲亢、甲状腺微小癌、亚急性甲状腺炎、甲状腺癌、家族性甲状腺非髓样癌、血清甲状腺球蛋白、甲状腺环磷酸鸟苷、甲状腺静态显像、血清超敏促甲状腺激素
甲状腺肿大,甲状腺肿大、颈部、甲状腺、粗脖子、普外科、内分泌科、甲状腺相关眼病、甲状腺功能亢进性心肌病、多发性内分泌腺瘤Ⅱ型、急性甲状腺炎、甲状腺炎、甲状腺过氯酸钾释放试验、甲状腺激素抑制试验、气管软化试验、血清抗甲状腺抗体
甲状腺腺瘤,甲状腺腺瘤、颈部、甲状腺、甲状腺腺瘤、内分泌科、外科、呼吸困难、上腔静脉压迫症、结节、呼吸困难、颈部淋巴结肿大、声音嘶哑、进行性颈部肿块、甲状腺超声波、甲状腺吸碘率、甲状腺核素扫描、甲状腺各项功能、颈部X线
甲状腺钙化,甲状腺钙化、颈部、甲状腺、内分泌科、外科、动脉粥样硬化、关节松弛、肌肉无力、脊柱后突、智力减低
甲肝病毒IgM阳性,甲肝病毒IgM阳性、腹部、肝、IgM、消化内科
甲胎蛋白增高,甲胎蛋白增高、血清AFP、血清甲胎球蛋白、血清胎甲球、AFP、产科、肿瘤、肿瘤相关抗原
病窦综合征,病窦综合征、胸部、心脏、病窦综合征、呆钝窦房结综合征、窦房晕厥、惰性窦房结、心血管内科、心胸外科、眩晕、猝死、心动过缓、心动过速、头痛、迷走神经张力增高、心悸、心电图、阿托品试验和异丙肾上腺素试验、心房调搏方法
痔疮,痔疮、臀部、肛周、痔核、痔病、痔疾、肛肠外科、缺铁性贫血、贫血、内痔、混合痔、外痔、坐骨直肠窝脓肿、肝脓肿、菌血症、败血症、积聚、炎性外痔、静脉曲张性外痔、痔块脱垂、痔出血、结缔组织性外痔、直肠指诊、肛门镜、吸引器
痛风,痛风、骨、关节、关节石病、尿酸盐贮积病、足痛风、历节风、风湿科、中医科、肾衰、类风湿性关节炎、高血压、糖尿病、高尿酸血症、肥胖症、风湿性关节炎、股骨头坏死、肾结石、高脂蛋白血症、心脏病、肾病、第1跖趾关节疼痛和肿大、关节疼痛、关节肿胀、关节畸形、尿酸盐在关节内沉积增多、血常规、尿常规和血沉、血尿酸、尿尿酸含量、关节腔穿刺、痛风结节内容物摄片与MRI
癌胚抗原增高,癌胚抗原增高、血清CEA、CEA、肿瘤科、老年人胰腺癌、胃肠道癌、脊髓缺血、老年人胃癌、肿瘤、胃肠病、乳房、肿瘤相关抗原
白内障,白内障、头部、眼、老年性白内障、年龄相关性白内障、眼科、老年科、青光眼、黄斑囊样水肿、玻璃体积血、脉络膜脱离、葡萄膜炎、瞳孔变白、眼球调节功能减退或消失、玻璃体经瞳孔向前房凸出、眼压升高、剥夺性弱视、角膜内皮细胞、视网膜视力、视野、视网膜电流图（ERG）
白带清洁度偏高,白带清洁度偏高、女性生殖、阴道、妇科
白带白细胞阳性,白带白细胞阳性、妇科
白带红细胞阳性,白带红细胞阳性、妇科
白癜风,白癜风、皮肤、白癜、白驳风、白斑风、皮肤白斑、皮肤科、中医科、药疹、带状疱疹、贫血、重症肌无力、银屑病、硬皮病、风湿性关节炎、特应性皮炎、肢端肥大症、副银屑病、疱疹样皮炎、色素脱失、色素性皮损、色素异常、额部白斑、皮肤硬化、皮肤超微结构检测、微量元素检测、过滤紫外线检测(wood灯)、神经递质检测、抗黑素细胞抗体(IgG、IgM)检测
白细胞计数增高,白细胞计数增高、白细胞计数、WBC、血液科、老年人慢性淋巴细胞白血病、成人T细胞白血病、细菌性前列腺炎、乳腺炎、血液病
白细胞计数降低,白细胞计数降低、白细胞计数、WBC、血液科、伤寒性心肌炎、自发性脑室内出血、脑型疟疾、血液病
皮疹,皮疹、皮肤、皮肤科、传染科、内分泌科、荨麻疹、血清抗艾滋病抗体、血清人类免疫缺陷病毒抗体
皮肤丘疹,皮肤丘疹、皮肤、皮肤科、急性荨麻疹、慢性湿疹、亚急性湿疹、肥疮、男性尖锐湿疣、梅毒确诊试验、梅毒定性试验、肺吸虫皮内试验、棘球蚴皮内试验、皮损
皮肤斑疹,皮肤斑疹、皮肤、皮肤科、麻风性葡萄膜炎、系统性红斑狼疮性巩膜炎、肺部粪类圆线虫病、皮下脂膜炎性T细胞淋巴瘤、原发性皮肤B细胞淋巴瘤、皮肤试验、红斑狼疮细胞、激发试验、胰高糖素激发试验、破伤风抗毒素皮内试验
皮肤湿疹,皮肤湿疹、皮肤、过敏性炎症性皮肤病、湿疮、皮肤科、疣、湿疹、皮肤病、外阴湿疹、慢性湿疹样变、瘙痒、干燥型湿疹、渗出型湿疹、肛门湿疹瘙痒、真菌、血常规、血清免疫球蛋白G亚类、皮损
皮肤玫瑰疹,皮肤玫瑰疹、皮肤、皮肤科、药物过敏、伤寒与副伤寒、鼠咬热、玫瑰糠疹、二期梅毒、玫瑰疹
皮肤真菌感染,皮肤真菌感染、皮肤、内科、外科、皮肤性病、糜烂型脚气、脚气、念珠菌病、真菌性食物中毒、真菌性尿路感染、阴道妇科常规、皮肤涂片显微镜、皮肤真菌镜检、真菌感染的实验室、阴道真菌
皮肤荨麻疹,皮肤荨麻疹、皮肤、风团、瘾疹、皮肤科、中医科、麻疹、拉肚子、呕吐、血管炎、荨麻疹、皮肤病、过敏、麻风病、皮肤过敏、慢性荨麻疹、急性荨麻疹、胆碱能性荨麻疹、皮肤发红、剧痒、全身皮肤充血、皮肤有压痕、嗜酸性粒细胞增多、感染、日光性荨麻疹应
皮脂腺囊肿,皮脂腺囊肿、皮肤、粉瘤、皮脂囊肿、粉刺、皮肤科、皮脂腺癌、皮脂腺腺瘤、皮脂囊肿病、皮下囊肿、皮肤粘连、皮下脂肪粒、皮下结节、组织病理学
盆腔积液,盆腔积液、女性生殖、子宫、妇科、急性盆腔炎、盆腔炎、血清卵泡刺激素、盆腔充气造影
盆腔肿块,盆腔肿块、女性生殖、子宫、妇科、右心房与下腔静脉平滑肌瘤、外阴神经纤维瘤、膀胱肿瘤、卵巢重度水肿、卵巢肌肉来源肿瘤、血清卵泡刺激素、血清鳞状上皮细胞癌抗原、p53基因、产科输卵管通液
直接胆红素增高,直接胆红素增高、结合胆红素、DBil、消化内科
直肠前突,直肠前突、腹部、肠、直肠膨出、肛肠外科、便血、排便困难
直肠息肉,直肠息肉、腹部、肠、肛肠外科、消化内科、直肠癌、息肉、肛乳头肥大、息肉样损害、里急后重、便血、直肠指检、直肠镜检、组织病理
直肠炎,直肠炎、腹部、肠、消化内科、内科、直肠炎、肠狭窄、肠息肉、结肠恶变、肛管炎、缺铁性贫血、肛肠镜或乙状结肠镜、涂片、粪便、培养、抗体及毒素检测
直肠肿物,直肠肿物、腹部、肠、肿瘤科
直肠脱垂,直肠脱垂、腹部、肠、脱肛、直肠脱出、肛肠外科、消化内科、溃疡病大出血、肠套叠、小儿直肠脱垂、小儿慢性肉芽肿病、小儿乳糜泻、排便不尽感、肛门坠胀、里急后重、肛门疼痛、便血、直肠脱垂
眼压偏低,眼压偏低、头部、眼、眼科
眼压偏高,眼压偏高、头部、眼、眼科、青光眼
眼底出血,眼底出血、头部、眼、眼科、视网膜血管炎、脉络膜新生血管、原发性青少年型青光眼、原发性婴幼儿型青光眼、穿透性角膜移植术所致青光眼
眼底窥视不清,眼底窥视不清、头部、眼、眼科
眼斜视,眼斜视、头部、眼、斜眼、眼科、婴幼儿型内斜视、微小度数斜视、反向斜视、急性共同性斜视、周期性内斜视、固定性斜视、原发性共同性内斜视、原发性非调节性内斜视、间歇性外斜视、恒定性外斜视、共同性外斜视、共同性斜视、视物模糊、眼球不能随意动、复视、步态不稳、周身不适、双眼视功能的、屈光、眼位和斜视角的、眼球运动、有没有代偿头位、确定麻痹肌的、牵拉试验、隐斜的、调节性集合、调节（AC、A）的比值
眼球活动受限,眼球活动受限、头部、眼、眼科
眼球突出,眼球突出、头部、眼、突眼、眼科、外科、角膜炎、结膜炎、畏光及流泪、结膜充血、眼压升高、视力障碍、恶心与呕吐、甲状腺显像、Hertel氏眼球突出计
眼球萎缩,眼球萎缩、头部、眼、眼科
眼球震颤,眼球震颤、头部、眼、眼震、眼科、弱视、斜视、不自主运动
眼睑内翻,眼睑内翻、头部、眼、眼科、史-约综合征、瘢痕性类天疱疮
眼睑外翻,眼睑外翻、头部、眼、眼科、泪溢
眼睑板腺阻塞,眼睑板腺阻塞、头部、眼、眼科
眼睑水肿,眼睑水肿、头部、眼、眼睑水肿、眼科、内科、急性额窦炎、结膜炎、溢饮、眼睑炭疽、眼睑丹毒、脑脊液免疫球蛋白、眼底镜法
眼睑结膜结石,眼睑结膜结石、头部、眼、眼科
眼睑闭合障碍,眼睑闭合障碍、头部、眼、眼睑闭合不全、兔眼、眼科、原发性青光眼、原发性青少年型青光眼、原发性婴幼儿型青光眼、单眼双下转肌麻痹、单眼双上转肌麻痹
眼睑霰粒肿,眼睑霰粒肿、头部、眼、睑板腺囊肿、眼胞痰核、胞睑肿核、目疣、眼科、外科、皮肤黏液瘤、皮肤淋巴细胞瘤、浅表性皮肤脂肪瘤痣、继发性皮肤CD30阳性大细胞淋巴瘤、皮肤纤维瘤、眼睑异物、眼睑脓肿、眼球不能随意动、眼痛、眼睑
眼睑麦粒肿,眼睑麦粒肿、头部、眼、针眼、眼睑炎、睑腺炎、眼科、中医科、眼睑炎、眼屎多、红眼、眼睑脓肿、颌下淋巴结肿大压痛、耳前淋巴结肿大、眼睑、血常规
睑缘炎,睑缘炎、头部、眼、烂眼边、眠弦赤烂、眼科、眼睑异物、眼袋、烂眼边、上眼睑增厚松弛、瘙痒、眼睑
睾丸占位性病变,睾丸占位性病变、男性生殖、睾丸、生殖科、泌尿外科
睾丸囊肿,睾丸囊肿、男性生殖、睾丸、泌尿外科
睾丸微石征,睾丸微石征、男性生殖、睾丸、泌尿外科、隐睾侧则进一步对患侧腹股沟、下腹部扫查、确定隐睾的位置及发育大小、彩色多普勒
睾丸鞘膜积液,睾丸鞘膜积液、男性生殖、睾丸、泌尿外科、儿科、睾丸损伤、阴囊肿大、鞘膜积水、一侧阴囊内逐渐增大的无痛性肿块、排尿不畅、前列腺前列腺、透光试验
睾酮增高,睾酮增高、男性生殖、睾丸、睾丸素、血液科、妇女多毛症、雷凡斯坦综合征、睾丸女性化、男性特纳综合征、男科疾病、激素
睾酮降低,睾酮降低、男性生殖、睾丸、睾丸素、血液科、中老年男子部分性雄激素缺乏综合征、先天性睾丸发育不全、男性假两性畸形、女性性高潮障碍、男科疾病、激素
瞳孔变形,瞳孔变形、头部、眼、眼科、玻璃体疝、重瞳、原发性青少年型青光眼、原发性婴幼儿型青光眼、穿透性角膜移植术所致青光眼
短P-R间期综合征,短P-R间期综合征、胸部、心脏、James束型预激综合征 LGL综合征 、心内科、心悸、胸闷、气短、头昏、晕厥、心电图、电生理特点、对心房程序期前刺激
